APA number,ACC number,ACC Name,Address,Suburb / Town,From,To
26,1,JOLIMONT LABORATORY,116-118 WELLINGTON PDE,EAST MELBOURNE VIC 3002,01/02/1992,30/06/2027
42,3,DOREVITCH PATHOLOGY,G 32 BRIDGE ST,BENDIGO VIC 3550,01/02/1992,30/06/2027
42,12,QML PATHOLOGY,PATH RM LOGAN CITY S/C SHOP 16 2 WEMBLEY RD,LOGAN CENTRAL QLD 4114,01/07/2008,30/06/2027
42,15,LAVERTY PATHOLOGY,"ROOMS 3 & 6, WAITING AREA SHOP 226B 6-14 CASTLE ST",CASTLE HILL NSW 2154,01/07/2008,30/06/2027
42,16,DOREVITCH PATHOLOGY,PATHOLOGY SUITE 102 STATION RD,FOSTER VIC 3960,01/07/2008,30/06/2027
42,19,DOREVITCH PATHOLOGY,157-159 MT DANDENONG RD,CROYDON VIC 3136,01/02/1992,30/06/2027
42,21,DOREVITCH PATHOLOGY,OFFICE SUITE 4005 619 DONCASTER RD,DONCASTER VIC 3108,01/02/1992,30/06/2027
42,28,DOREVITCH PATHOLOGY,PATH RM ROSANNA MED GRP 88 LOWER PLENTY RD,ROSANNA VIC 3084,01/07/2008,30/06/2027
42,29,DOREVITCH PATHOLOGY,222 SPRINGVALE RD,GLEN WAVERLEY VIC 3150,01/02/1992,30/06/2027
42,30,QML PATHOLOGY,TENANCY B G 41 ARTHUR ST,YEPPOON QLD 4703,01/07/2007,30/06/2027
42,31,DOREVITCH PATHOLOGY,PATH RM WONTHAGGI MED GRP 42-44 MURRAY ST,WONTHAGGI VIC 3995,01/07/2006,30/06/2027
42,35,DOREVITCH PATHOLOGY,JOHN FAWKNER PVTE HOSPITAL 275 MORELAND RD,COBURG VIC 3058,01/02/1992,30/06/2027
42,39,LAVERTY PATHOLOGY,PATH SE 1 BEROWRA VILL MC 1A TURNER RD,BEROWRA HEIGHTS NSW 2082,01/07/2006,30/06/2027
42,42,DOREVITCH PATHOLOGY,PATHOLOGY ROOM SE 4 L 9 20 COLLINS ST,MELBOURNE VIC 3000,01/02/1992,30/06/2027
42,45,DOREVITCH PATHOLOGY,53 VICTORIA ST,BALLARAT VIC 3350,01/07/2006,30/06/2027
42,46,DOREVITCH PATHOLOGY,PATH RM WANGARATTA PVT HOSP 29 CLARK ST,WANGARATTA VIC 3676,01/07/2007,30/06/2027
42,49,QML PATHOLOGY,NERANG MALL SHOP T41 25 GILSTON RD,NERANG QLD 4211,01/07/2008,30/06/2027
42,61,DOREVITCH PATHOLOGY,PATH RM HALLAM FAM PRAC 214 PRINCES HWY,HALLAM VIC 3803,01/07/2007,30/06/2027
42,62,DOREVITCH PATHOLOGY,UNIT 4 212 CLAYTON RD,CLAYTON VIC 3168,28/10/1992,30/06/2027
42,67,LAVERTY PATHOLOGY,UNIT 1A 15 ARNOTT ST,EDGEWORTH NSW 2285,01/07/2006,30/06/2027
42,73,DOREVITCH PATHOLOGY,PATHOLOGY SUITE 1 79-81 ROSE ST,ESSENDON VIC 3040,01/02/1994,30/06/2027
42,74,QML PATHOLOGY,SHOP 2 130 MARSHALL ST,GOONDIWINDI QLD 4390,01/07/2008,30/06/2027
42,77,DOREVITCH PATHOLOGY,WILLIAMSTOWN SPECIALIST CTR RM 8-13 87 FERGUSON ST,WILLIAMSTOWN VIC 3016,01/02/1994,30/06/2027
42,78,DOREVITCH PATHOLOGY,PATH RM U 1 2 RAMSAY PL,ALBURY NSW 2640,19/03/1994,30/06/2027
42,81,DOREVITCH PATHOLOGY,SUITE 15 214-216 BURGUNDY ST,HEIDELBERG VIC 3084,18/07/1994,30/06/2027
42,82,DOREVITCH PATHOLOGY,107 JUKES RD,FAWKNER VIC 3060,01/07/2008,30/06/2027
42,83,DOREVITCH PATHOLOGY,PATH RM LAKKIS OPTOMETRY 232 MILLEARA RD,KEILOR EAST VIC 3033,03/10/1994,30/06/2027
42,85,LAVERTY PATHOLOGY,PATHOLOGY ROOM 1 SHOP 17 355 BARRENJOEY RD,NEWPORT NSW 2106,01/07/2007,30/06/2027
42,87,DOREVITCH PATHOLOGY,PATH RM NUNAWADING CLINIC 176 SPRINGVALE RD,NUNAWADING VIC 3131,01/07/2008,30/06/2027
42,89,LAVERTY PATHOLOGY,PATH RM LINDFIELD FAM MED SE 26 12-18 TRYON RD,LINDFIELD NSW 2070,01/07/2008,30/06/2027
42,91,DOREVITCH PATHOLOGY,GROUND FLOOR SUITE 1 G 262 SPRINGVALE RD,GLEN WAVERLEY VIC 3150,01/07/2007,30/06/2027
42,92,LAVERTY PATHOLOGY,PATH R&W SYD NEURO & MED S SE 17 468-472 KINGSWAY,MIRANDA NSW 2228,01/07/2007,20/01/2026
42,94,DOREVITCH PATHOLOGY,602 GLENHUNTLY RD,ELSTERNWICK VIC 3185,13/11/1996,30/06/2027
