APA number,ACC number,ACC Name,Address,Suburb / Town,From,To,Latitude,Longitude
26,1,JOLIMONT LABORATORY,116-118 WELLINGTON PDE,EAST MELBOURNE VIC 3002,01/02/1992,30/06/2027,-37.81616,144.98633
42,3,DOREVITCH PATHOLOGY,G 32 BRIDGE ST,BENDIGO VIC 3550,01/02/1992,30/06/2027,-36.75331,144.28384
42,12,QML PATHOLOGY,PATH RM LOGAN CITY S/C SHOP 16 2 WEMBLEY RD,LOGAN CENTRAL QLD 4114,01/07/2008,30/06/2027,-27.64349,153.11731
42,15,LAVERTY PATHOLOGY,"ROOMS 3 & 6, WAITING AREA SHOP 226B 6-14 CASTLE ST",CASTLE HILL NSW 2154,01/07/2008,30/06/2027,-33.7299,151.00678
42,16,DOREVITCH PATHOLOGY,PATHOLOGY SUITE 102 STATION RD,FOSTER VIC 3960,01/07/2008,30/06/2027,-38.66014,146.20653
42,19,DOREVITCH PATHOLOGY,157-159 MT DANDENONG RD,CROYDON VIC 3136,01/02/1992,30/06/2027,-37.79965,145.2773
42,21,DOREVITCH PATHOLOGY,OFFICE SUITE 4005 619 DONCASTER RD,DONCASTER VIC 3108,01/02/1992,30/06/2027,-37.78709,145.12599
42,28,DOREVITCH PATHOLOGY,PATH RM ROSANNA MED GRP 88 LOWER PLENTY RD,ROSANNA VIC 3084,01/07/2008,30/06/2027,-37.74364,145.06459
42,29,DOREVITCH PATHOLOGY,222 SPRINGVALE RD,GLEN WAVERLEY VIC 3150,01/02/1992,30/06/2027,-37.87628,145.16674
42,30,QML PATHOLOGY,TENANCY B G 41 ARTHUR ST,YEPPOON QLD 4703,01/07/2007,30/06/2027,-23.12795,150.74336
42,31,DOREVITCH PATHOLOGY,PATH RM WONTHAGGI MED GRP 42-44 MURRAY ST,WONTHAGGI VIC 3995,01/07/2006,30/06/2027,-38.60498,145.588
42,35,DOREVITCH PATHOLOGY,JOHN FAWKNER PVTE HOSPITAL 275 MORELAND RD,COBURG VIC 3058,01/02/1992,30/06/2027,-37.75423,144.95848
